OrigDate,Price,Open,High,Low,Vol.,Change %,Date
12/27/2021,15.39,15.39,15.39,15.39,,0.61%,2021-12-27
12/24/2021,15.3,15.3,15.3,15.3,,0.29%,2021-12-24
12/23/2021,15.25,15.25,15.25,15.25,,6.90%,2021-12-23
12/22/2021,14.27,14.27,14.27,14.27,,1.72%,2021-12-22
12/21/2021,14.03,14.03,14.03,14.03,,-0.95%,2021-12-21
12/20/2021,14.16,14.16,14.16,14.16,,-1.52%,2021-12-20
12/17/2021,14.38,14.38,14.38,14.38,,-10.29%,2021-12-17
12/16/2021,16.03,16.03,16.03,16.03,,0.33%,2021-12-16
12/15/2021,15.98,15.98,15.98,15.98,,1.22%,2021-12-15
12/14/2021,15.79,15.79,15.79,15.79,,-3.54%,2021-12-14
12/13/2021,16.37,16.37,16.37,16.37,,4.98%,2021-12-13
44481,15.59,15.59,15.59,15.59,,2.92%,2021-10-12
44451,15.15,15.15,15.15,15.15,,0.15%,2021-09-12
44420,15.12,15.12,15.12,15.12,,-1.18%,2021-08-12
44389,15.3,15.3,15.3,15.3,,-6.19%,2021-07-12
44359,16.31,16.31,16.31,16.31,,-0.65%,2021-06-12
44267,16.42,16.42,16.42,16.42,,6.39%,2021-03-12
44239,15.44,15.44,15.44,15.44,,-5.50%,2021-02-12
44208,16.33,16.33,16.33,16.33,,6.47%,2021-01-12
11/30/2021,15.34,15.34,15.34,15.34,,-0.42%,2021-11-30
11/29/2021,15.41,15.41,15.41,15.41,,0.89%,2021-11-29
11/26/2021,15.27,15.27,15.27,15.27,,-1.52%,2021-11-26
11/25/2021,15.51,15.51,15.51,15.51,,1.60%,2021-11-25
11/24/2021,15.26,15.26,15.26,15.26,,1.99%,2021-11-24
11/23/2021,14.97,14.97,14.97,14.97,,-0.69%,2021-11-23
11/22/2021,15.07,15.07,15.07,15.07,,2.06%,2021-11-22
11/19/2021,14.77,14.77,14.77,14.77,,-11.68%,2021-11-19
11/18/2021,16.72,16.72,16.72,16.72,,7.77%,2021-11-18
11/17/2021,15.52,15.52,15.52,15.52,,-2.50%,2021-11-17
11/16/2021,15.91,15.91,15.91,15.91,,-0.76%,2021-11-16
11/15/2021,16.03,16.03,16.03,16.03,,0.54%,2021-11-15
44541,15.95,15.95,15.95,15.95,,-1.73%,2021-12-11
44511,16.23,16.23,16.23,16.23,,0.49%,2021-11-11
44480,16.15,16.15,16.15,16.15,,0.83%,2021-10-11
44450,16.02,16.02,16.02,16.02,,0.46%,2021-09-11
44419,15.94,15.94,15.94,15.94,,-0.91%,2021-08-11
44327,16.09,16.09,16.09,16.09,,-0.75%,2021-05-11
44297,16.21,16.21,16.21,16.21,,0.41%,2021-04-11
44266,16.15,16.15,16.15,16.15,,-0.52%,2021-03-11
44238,16.23,16.23,16.23,16.23,,0.63%,2021-02-11
44207,16.13,16.13,16.13,16.13,,-2.68%,2021-01-11
10/28/2021,16.57,16.57,16.57,16.57,,1.52%,2021-10-28
10/27/2021,16.33,16.33,16.33,16.33,,-0.20%,2021-10-27
10/26/2021,16.36,16.36,16.36,16.36,,-0.40%,2021-10-26
10/25/2021,16.42,16.42,16.42,16.42,,0.63%,2021-10-25
10/22/2021,16.32,16.32,16.32,16.32,,-11.05%,2021-10-22
10/21/2021,18.35,18.35,18.35,18.35,,3.09%,2021-10-21
10/20/2021,17.8,17.8,17.8,17.8,,-0.94%,2021-10-20
10/19/2021,17.97,17.97,17.97,17.97,,0.18%,2021-10-19
10/18/2021,17.93,17.93,17.93,17.93,,0.15%,2021-10-18
10/15/2021,17.91,17.91,17.91,17.91,,1.08%,2021-10-15
10/14/2021,17.71,17.71,17.71,17.71,,-2.42%,2021-10-14
10/13/2021,18.15,18.15,18.15,18.15,,0.71%,2021-10-13
44540,18.02,18.02,18.02,18.02,,-1.03%,2021-12-10
44510,18.21,18.21,18.21,18.21,,0.11%,2021-11-10
44418,18.19,18.19,18.19,18.19,,0.92%,2021-08-10
44387,18.03,18.03,18.03,18.03,,0.00%,2021-07-10
44357,18.02,18.02,18.02,18.02,,0.12%,2021-06-10
